chapter_num,title,summary,word_count
12,CHAPTER XIII,"“I hope, my dear,” said Mr. Bennet to his wife, “that you have ordered a good dinner to-day, because I have reason to expect an addition to our family party.” “A gentleman and a stranger! It is Mr.Bingley, I am sure. Why, Jane--you never dropped a word of this--you sly thing! Well, I'm sure I shall be extremely glad to see Mr. Bingley,’ said his wife. “It is a person whom I never saw in the whole course of my life”",81
13,CHAPTER XIV,"Lady Catherine de Bourgh's attention to his wishes, and consideration for his comfort, appeared very remarkable. Mr. Bennet could not have chosen a better patroness. Lady Catherine was reckoned proud by many people, he knew, but _he_ had never seen anything but affability in her. She had always spoken to him as she would to any other gentleman; she had not the smallest objection to his joining in the society.",70
14,CHAPTER XV,"Mr. Collins was not a sensible man, and the deficiency of nature had originally given him great humility of manner. A fortunate chance had recommended him to Lady Catherine de Bourgh when the living of Hunsford was vacant. Having now a good house and a very sufficient income, he intended to marry; and in seeking a reconciliation with the Longbourn family he had meant to choose one of the daughters.",70
15,CHAPTER XVI,"‘Mr. Wickham was the happy man towards whom almost every female eye was turned.’ ‘He was as far beyond them all in person, countenance, air, and walk, as _they_ were superior to the broad-faced stuffy uncle Philips, who followed them into the room’. ‘The officers of the ----shire were in general a very creditable, criticizing,gentlemanlike set’",56
16,CHAPTER XVII,"Elizabeth related to Jane, the next day, what had passed between Mr. Darcy and herself. Jane listened with astonishment and concern. She knew not how to believe that Mr.Darcy could be so unworthy of Mr. Bingley’s regard. But Jane could think with certainty on only one point,--that Mr.Bingley would have much to suffer when the affair became public.",58
17,CHAPTER XVIII,"Elizabeth Wickham was at the Bingleys’ party at Netherfield. She had dressed with more than usual care, and prepared in the highest spirits for the conquest of all that remained unsubdued of his heart. But in an instant arose the.dreadful suspicion of his being purposely omitted, for Mr. Darcy’s.pleasure, in the invitation to the officers. The moment of her release from him was ecstasy.",64
18,CHAPTER XIX,"Mr. Collins made his declaration to Elizabeth Bennet the next day at Longbourn. He told her that he was going away for the weekend to marry another woman. He said that he wanted to set the example of matrimony in his parish. He also gave his advice to Elizabeth on how to find the right woman for her. The couple were married in April 18th, 18th century.",67
19,CHAPTER XX,Mr. Collins and Lizzy Bennet were engaged to be married. Mrs. Bennet told Mr. Collins that Lizzy would not marry him because she was headstrong and foolish. Lizzy's mother called her to the library and told her to make Lizzy marry her son. The couple were engaged for a year before Lizzy decided to marry another man. The pair were married for another year after Lizzy refused to marry her husband.,71
20,CHAPTER XXI,"Elizabeth Bennet and her sister Jane received a letter from Caroline Bingley. The letter was from Mr. Darcy, and contained an offer to join his society. The Bennet sisters decided to follow their brother to town directly. They met Mr. Wickham and his companion on their way back to Longbourn. They also encountered Mr. Collins and his wife at Meryton, who were also at the ball.",66
21,CHAPTER XXII,"Elizabeth Bennet was engaged to Mr. Collins when she met him at St. James’s. He was anxious to avoid the notice of his cousins, who could not fail to notice his design. The Bennets were engaged to dine with the Lucases; and again, during the. day, was Miss Lucas so kind as to listen to him. “It keeps him in good                humour,” said she, “and I am more obliged to you than I can express”",75
22,CHAPTER XXIII,"Elizabeth Bennet's engagement to Mr. Collins was announced to her family. Sir William Lucas was sent by his daughter to announce the news to the Bennet family. Elizabeth's mother, Lydia, was incredulous at the news. Lady Lucas could not be insensible of triumph on being able to retort on Mrs. Bennet the comfort of having a daughter well married. The Bennets were never able to forgive their daughter for being rude to them.",73
23,CHAPTER XXIV,"Miss Darcy’s letter arrived, and put an end to doubt. Jane found little, except the professed affection of the writer, that could give her any comfort. Her heart was divided between concern for her sister and resentment against all others. She could not think without anger, hardly without contempt, on that easiness, that want of proper resolution, which now made him the slave of his designing friends.",67
24,CHAPTER XXV,"After a week spent in professions of love and schemes of felicity, Mr.Collins was called from his amiable Charlotte by the arrival of his bride. Mrs. Gardiner, who was several years younger than Mrs. Bennet and Mrs. Philips, was an amiable, intelligent, elegant woman, and a great favourite with her Longbourn nieces. The Netherfieldladies would have had difficulty in believing that a man who lived bytrade, and within view of his own warehouses, could have been so agreeable.",78
25,CHAPTER XXVI,"Elizabeth Bennet was warned by her aunt not to fall in love with Mr. Darcy. Her aunt said she was too sensible a girl to be tempted to do so. Her father's opinion of her does her the greatest honour, and she would be miserable to forfeit it. Mrs. Bennet’s marriage to Mr. Collins was fast approaching; and she was at length repeatedly forced to say, in an ill-natured tone, that she “wished they might be happy’",77
26,CHAPTER XXVII,"March was to take                Elizabeth to Hunsford. She had not at first thought very seriously of                going thither. But Charlotte, she soon found, was depending on the                plan, and she gradually learned to consider it herself with greater                pleasure as well as greater certainty. The only pain was in leaving her father, who would certainly miss her, and who, when it came to the point, so little liked her going.",70
27,CHAPTER XXVIII,"Elizabeth was delighted to see her sister looking so well as to banish all fear for her health, and the prospect of her northern tour was a constant source of delight. She saw immediately that her cousin’s manners were not altered by his marriage: his formal civility was just what it had been. Mr. Collins invited them to take a stroll in his garden, which was large and well laid out, and to the cultivation of his meadows, which he attended himself.",82
28,CHAPTER XXIX,"Sir William de Bourgh and his wife were invited to dine at Rosings by Lady Catherine. Lady Catherine was a tall, handsome woman, with features strongly-marked. Sir William was so completelyawed by the grandeur surrounding him that he had just courage to make a low bow and take his seat. His daughter, frightened out of her senses, sat on the edge of her chair, not knowing which way to look to look.",72
29,CHAPTER XXX,"Sir William stayed only a week at Hunsford, but his visit was long enough to convince him of his daughter’s being most comfortably settled. While Sir William was with them, Mr. Collins devoted his mornings to driving him out in his gig, and showing him the country. When he went away, the whole family returned to their usual employments, and Elizabeth was thankful to find that they did not see more of her cousin.",74
30,CHAPTER XXXI,"Colonel Fitzwilliam’s manners were very much admired at the Parsonage. The ladies all felt that he must add considerably to the pleasure oftheir engagements at Rosings. For the last week they had seen very little of either Lady Catherine or her daughter. Mr. Darcy they had only seen at church. The invitation was accepted, of course, and at a proper hour they joined the party. Her Ladyship received them them verycivilly, but it was plain that their company was by no means so unacceptable as when she could get nobody else.",91
31,CHAPTER XXXII,"Elizabeth Darcy was sitting by herself the next morning, and writing to Jane, while Mrs. Collins and Maria were gone on business into the village. She was startled by a ring at the door, the certain signal of a certainvisitor. The door opened, and to her very great surprise Mr. Darcy, and Mr.Darcy only, entered the room. They then sat down, and when her inquiries after Rosings were made, seemed in danger of sinking into total silence.",77
32,CHAPTER XXXIII,"Elizabeth met Mr. Darcy more than once in the park. He asked her odd questions about her life at Hunsford. He seemed to expect that whenever she came into Kent again she would be staying there too. He said he did not know anybody more to enjoy the power of doing what he likes than Darcy. He also said that women of fortune often marry where they like, and there are not many in life who can afford to.",79
33,CHAPTER XXXIV,"Elizabeth Darcy's letters to her sister Jane were examined by Colonel Fitzwilliam. The letters contained no actual complaint, nor was there any communication of present suffering. Mr. Darcy’s boast of what misery he had been able to inflict gave her a sense of her sister's sufferings. She tried, however, to compose herself to answer him with patience, when he should have done.",62
34,CHAPTER XXXV,Elizabeth Darcy received a letter from her former lover the next day. The letter was addressed to her and contained two sheets of letter paper. It was written in a very close hand and addressed to Elizabeth Darcy. It said that Mr. Darcy had sent her a letter of apology for what he had done the night before. He also wrote that he was sorry that he had separated from his sister.,72
35,CHAPTER XXXVI,"Elizabeth Darcy received a letter from Mr. Darcy in 1894. She read it with an eagerness which nearly left her power of comprehension. Her feelings as she read were scarcely to be defined. She put down the letter, weighed every circumstance with what she meant to be.impartiality--deliberated on the probability of each statement--but with.little success. On both sides it was only assertion.",62
36,CHAPTER XXXVII,Elizabeth Bennet was invited to stay with her mother and father at Rosings. Lady Catherine and Mr. Collins were very sad to see them leave. The two women were very fond of each other. They discussed their plans for the future. Elizabeth wrote to her mother to ask if she could stay a little longer. She wrote back: “I am much obliged to your Ladyship for your kind invitation.”,69
37,CHAPTER XXXVIII,"Elizabeth was eager with her thanks and assurances of happiness. She had spent six weeks with great enjoyment. The pleasure of being with Charlotte, and the kind attention she had received, must make her feel obliged. Mr. Collins was gratified; and with a more smiling demeanor replied, “It gives me the greatest pleasure to hear that you have passed your time not disagreeably” He then handed hiscompliments to Mr. and Mrs. Gardiner.",72
38,CHAPTER XXXIX,"Elizabeth Bennet and her two sisters were visiting Mr. Bennet in Hertfordshire. Kitty and Lydia were looking out of a dining-room upstairs. Elizabeth was shocked to think that, incapable of such coarseness of expression, she had harboured little other than her own breast. The three young ladies set out together from Gracechurch Street for the town of ----, in Hertforshire.",60
39,CHAPTER XL,"Elizabeth Bennet received a letter from Mr. Darcy to her sister, Jane. Jane Bennet was shocked by the contents of the letter. Elizabeth tried to explain to Jane what had happened. Jane refused to believe her sister's story. Elizabeth then told Jane what happened the next day. Jane could not believe what she had heard. Elizabeth said she was heartily sorry for Darcy, but that he had other feelings.",69
40,CHAPTER XLI,"Lydia Bennet was invited to Brighton by Mrs. Forster, the wife of the colonel of the regiment. Elizabeth felt anew the justice of Mr. Darcy’s objections. Lydia flew about the house in restless ecstasy. Kitty continued in the parlour repining at her fate in terms as unreasonable as her accent was peevish. Elizabeth tried to be diverted by them, but all sense of pleasure was lost in shame. Lydia was so excited by the prospect of going to Brighton that her father secretly advised her not to go.",88
41,CHAPTER XLII,"Elizabeth Bennet's father married a woman whose weak understanding and illiberal mind had put an end to all real affection for her. She had never been blind to the impropriety of her father’s behaviour as a husband. She endeavoured to forget what she could not overlook, and to.banish from her thoughts that continual breach of conjugal obligation and decorum. But she had never felt so strong as now the disadvantages which must attend the children of so unsuitable a marriage.",80
42,CHAPTER XLIII,"Pemberley Woods is a beautiful wood stretching over a wide extent. Elizabeth was delighted. She had never seen a place for which nature had done more, or where natural.beauty had been so little counteracted by an awkward taste. The rooms were lofty and handsome, and their furniture.suitable to the fortune of their proprietor; but Elizabeth saw, with.admiration of his taste, that it was neither gaudy nor uselessly.fine.",67
43,CHAPTER XLIV,"Elizabeth Darcy had settled it that Mr. Darcy would bring his sister to visit her the very day after her reaching Pemberley. But her conclusion was false, and on the very morning after their own arrival at Lambton these visitors came. Her uncle and aunt were all amazement; and the embarrassment of her manner as she spoke, joined to the circumstance itself, opened to them a new idea on the business.",71
44,CHAPTER XLV,"Elizabeth Darcy and her niece were invited to stay at Pemberley. They were greeted by Miss Darcy's aunt, Georgiana, and her husband's cousin, Mr. Gardiner. The party were seated in the saloon of the house, which had a northern aspect. Elizabeth felt that Miss Bingley’s dislike of her hadipientoriginated in jealousy, and was curious to know how much civility on that lady's side the acquaintance would now                be renewed.",69
45,CHAPTER XLVII,"“I have been thinking it over again, Elizabeth,” said her uncle, as they purposefullydrove from the town. “It appears to me so very unlikely that any young man should form such a design against a girl who is by no means unprotected orfriendless, and who was actually staying in his Colonel’s family.” “Can you think that Lydia is so lost to everything but love of him, that she would consent to live with him on any other terms than marriage?”",80
46,CHAPTER XLVIII,"The family of Mr. Bennet were in hopes of a letter from Mr. Wickham the next morning, but the post came in without bringing a single line from him. Mr. Gardiner had waited only for the letters before he set off. He left Longbourn on Sunday; on Tuesday, his wife received aletter from him: it told them that on his arrival he had immediately found out his brother, and persuaded him to come to Gracechurch Street.",76
47,CHAPTER XLIX,"Two days after Mr. Bennet’s return, as Jane and Elizabeth were walking                together in the shrubbery behind the house, they saw the housekeeper                coming towards them. She said to Miss Bennet, “I was in hopes you might have got some good news from town, so I took the liberty of coming to ask.” The girls ran through the vestibule into the breakfast-room; from thence to the library;--their father was in neither. They were on the point of seeking him upstairs with their mother, when they were met by the Butler.",90
48,CHAPTER L,"Five thousand pounds was settled by marriage articles on Mrs. Bennet and her children. But in what proportions it should be divided amongst the parents depended on the will of the parents. Mr Bennet had no hesitation in acceding to the proposal before him. He had never before supposed that Wickham could be prevailed on to marry his daughter, it would be done with so little inconvenience to himself as by the present                arrangement.",74
49,CHAPTER LI,"Lydia Bennet married Wickham on her sister's wedding-day. Jane and Elizabeth felt for her probably more than she felt for herself. The easy assurance of the young couple, indeed, was enough to provoke him. Lydia was untamed, unabashed, wild, noisy, and fearless. She led her sisters to subjects which her sisters would not have alluded to for the world.",59
50,CHAPTER LII,"Elizabeth Darcy received a letter from her sister, telling her of her uncle's search for her. The letter was written by Mr. Darcy's friend, Mr. Gardiner, who had been sent to find Lydia and Mr. Wickham. Lydia's uncle had seen and talked with Wickham repeatedly, Lydia once. He had been trying to persuade Lydia to quit her present disgrace and return as soon as possible.",65
51,CHAPTER LIII,"Lydia Bennet and her husband left for Newcastle on the day of their separation. Mrs. Bennet was saddened by the loss of her daughter, but was cheered by the news that her husband was coming to Netherfield. The housekeeper at Netherfield had received orders to prepare for the arrival of her belovedmaster, who was coming down in a day or two, to shoot there for several weeks.",67
52,CHAPTER LIV,"Elizabeth Bennet and Mr. Darcy met for the first time at Longbourn on Monday. She was in no cheerful humour, and found his behaviour astonishing and vexed her. She resolved to think no more about him. They did not see the gentlemen again till Tuesday, when Mrs. Bennet was giving way to all the happy schemes which the good-humour and common politeness of Bingley, in half an hour's visit, had revived.",71
53,CHAPTER LV,"Mr. Bingley visited the Bennet family a few days after his return from London. Mrs. Bennet invited him to dine with them, but he confessed himself engaged elsewhere. He came, and in such very good time, that the ladies were none of them to help them get dressed. After tea, he retired to the library, and Mary went upstairs to her instrument. After this day, Jane said no more of her indifference to her husband's visit.",76
54,CHAPTER LVI,"Lady Catherine de Bourgh visited the Bennet family a week after Bingley’s engagement with Jane had beenformed. She was completely unknown to Mrs. Bennet and Kitty, even though she was perfectly unknown to them. Lady Catherine sat down without saying a word, and refused to eat anything. Elizabeth was determined to make no effort for no effort, and walked on with her in silence.",64
55,CHAPTER LVII,"Elizabeth Bennet received a letter from her nephew's aunt, Lady Catherine. Lady Catherine wanted to break off her supposed engagement with Mr. Darcy. Elizabeth felt uneasiness as to the possible consequence of her persisting in this interference. She thought of her nephew, and how he might take a similarrepresentation of the evils attached to a connection with her. She knew not the exact degree of his affection for his aunt, or his dependence on her judgment.",76
56,CHAPTER LVIII,"Bingley and Jane left Longbourn before Lady Catherine’svisit. They lagged behind while Elizabeth, Kitty, and Darcy were to entertain each other. Kitty was afraid of him to talk; Elizabeth was secretly forming a desperate resolution. They walked on without knowing what direction they were going in. They were indebted to Elizabeth for their present understanding of their good intentions.",59
57,CHAPTER LIX,"Lizzy Bennet is engaged to Mr. Darcy. She tells her sister, Jane, that she loves him better than she loves Bingley. Jane is incredulous, but Elizabeth assures her that it is the truth. The couple are the happiest couple in the world, but Jane is not so sure. Lizzy says she will be as happy with him as she is with Bingley, and that she will always have him.",69
58,CHAPTER LX,"Elizabeth wanted Mr.Darcy to account for his having ever fallen in love with her. “I was in the middle before I                knew that I had begun,” he said. ‘I was determined once to know everything, and I was determined to make you love me.’ ‘My purpose was to see if I could ever judge and judge, if I might ever, whether I could, ever, make youlove me’",67
59,CHAPTER LXI,"Mrs. Bennet spent much of her time with her two elder sisters. Her husband missed his second daughter exceedingly. He delighted in her going to Pemberley, especially when he was least expected. Mary was obliged to mix more with the world, but could still moralize over every morning visit. Mr. Darcy was not wholly without hope that Mr. Bingley might yet be able to make his fortune.",67
